Product Name,Product Link,Image Link,Product Price,Product Description
Nike Dunk High,https://www.nike.com/t/dunk-high-womens-shoes-PXHcGT/DD1869-103,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5b0981ff-45f8-40c3-9372-32430a62aaea/dunk-high-womens-shoes-PXHcGT.png",$125,"Created for the hardwood but taken to the streets, the '80s b-ball icon returns with crisp leather and retro colors. The classic hoops design channels '80s vintage back onto the streets while the padded, high-top collar adds an old-school look rooted to comfort.Shown: White/University Red/BlackStyle: DD1869-103"
Nike Air Force 1 '07 Next Nature,https://www.nike.com/t/air-force-1-07-next-nature-womens-shoes-fvxZ0g/DN1430-106,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/1aeb9850-aa34-4fa9-8ba0-9f875a1c36ca/air-force-1-07-next-nature-womens-shoes-fvxZ0g.png",$80.97,"The radiance lives on in the Nike Air Force 1 ’07 Next Nature—the b-ball original that lets you do good by looking good. Made from at least 20% recycled materials by weight, it keeps everything you love best: tried and true AF1 style and comfortable cushioning.Shown: White/White/Arctic OrangeStyle: DN1430-106"
Nike Air Force 1 '07,https://www.nike.com/t/air-force-1-07-mens-shoes-jBrhbr/CW2288-111,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e6da41fa-1be4-4ce5-b89c-22be4f1f02d4/air-force-1-07-mens-shoes-jBrhbr.png",$110,"The radiance lives on in the Nike Air Force 1 ’07, the b-ball OG that puts a fresh spin on what you know best: durably stitched overlays, clean finishes and the perfect amount of flash to make you shine.Shown: White/WhiteStyle: CW2288-111"
Nike Air Max Correlate,https://www.nike.com/t/air-max-correlate-womens-shoes-29Vjp0/511417-136,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/fabaa569-6800-419f-be28-cf794a467636/air-max-correlate-womens-shoes-29Vjp0.png",$100,The Nike Air Max Correlate sets you up in throwback style with a multi-textured upper and Max Air unit. Its soft foam midsole and breathable upper offer all-day comfort wherever your day takes you.Shown: White/New Green/Bright Mango/BlackStyle: 511417-136
Nike Court Legacy Next Nature,https://www.nike.com/t/court-legacy-next-nature-womens-shoes-8r07x0/DH3161-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/46c88fa2-8d40-46ad-8c0c-c40e05776738/court-legacy-next-nature-womens-shoes-8r07x0.png",$70,"Honoring a history rooted in tennis culture, the Nike Court Legacy Next Nature brings you a time-tested staple in a design that's made from at least 20% recycled materials by weight. Its synthetic leather and retro design let you blend sport and fashion. Do good by looking good.Shown: White/Desert Ochre/Team Orange/BlackStyle: DH3161-100"
Air Jordan 1 Low,https://www.nike.com/t/air-jordan-1-low-womens-shoes-rJrHLw/DC0774-304,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/e146ef53-c261-4e4b-8d63-bf7f90bb03a5/air-jordan-1-low-womens-shoes-rJrHLw.png",$110,"Always in, always fresh. The Air Jordan 1 Low sets you up with a piece of Jordan history and heritage that's comfortable all day. Choose your colors, then step out in the iconic profile that's built with a high-end mix of materials and encapsulated Air in the heel.Shown: Lucky Green/White/AquatoneStyle: DC0774-304"
Nike Air Max 97,https://www.nike.com/t/air-max-97-mens-shoes-LJmK45/921826-101,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/5fe30fc4-2645-4d1e-b3f8-70da145e0f74/air-max-97-mens-shoes-LJmK45.png",$175,"Featuring the original ripple design inspired by Japanese bullet trains, the Nike Air Max 97 lets you push your style full-speed ahead. Taking the revolutionary full-length Nike Air unit that shook up the running world and adding fresh colors and crisp details, it lets you ride in first-class comfort.Shown: White/Black/Wolf GreyStyle: 921826-101"
Nike Air Force 1 Low Retro QS,https://www.nike.com/t/air-force-1-low-retro-qs-mens-shoes-XZG2zG/DX1156-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/eda869cc-9789-40ec-abb1-ddffff3ee22f/air-force-1-low-retro-qs-mens-shoes-XZG2zG.png",$75.97,"Can an icon get more iconic? This AF1 goes for it with an anniversary edition of the 2002 design honoring the cultures of the West Indies. Crisp white is punctuated with pops of color throughout, and features an embroidered ""West Indies"" and palm tree. Take a peek at the insole for your very own geography lesson, just in time for the annual parade in Brooklyn that celebrates the islands.Shown: White/Classic Green/WhiteStyle: DX1156-100"
Nike Air VaporMax Plus,https://www.nike.com/t/air-vapormax-plus-mens-shoes-nC0dzF/924453-100,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/12218601-6303-49ca-8611-180dc1115e46/air-vapormax-plus-mens-shoes-nC0dzF.png",$210,"The Nike Air VaporMax Plus looks to the past and propels you into the future. Nodding to the 1998 Air Max Plus with its floating cage, padded upper and heel logo, it adds revolutionary VaporMax Air technology to ramp up the comfort and create a modern look.Shown: White/Pure Platinum/WhiteStyle: 924453-100"
Air Jordan 1 Retro High OG,https://www.nike.com/t/air-jordan-1-retro-high-og-mens-shoes-VdpsB7/DZ5485-031,"https://static.nike.com/a/images/c_limit,w_592,f_auto/t_product_v1/03ac93ba-0ab0-4e37-a623-9972de262234/air-jordan-1-retro-high-og-mens-shoes-VdpsB7.png",$180,"The Air Jordan 1 Retro High remakes the classic sneaker, giving you a fresh look with a familiar feel. Premium materials with new colors and textures give modern expression to an all-time favorite.Shown: Black/White/Lucky GreenStyle: DZ5485-031"
